16;7;62
24;2;323
21;6;467
18;4;411
8;11;51
25;8;122
8;2;64
23;10;355
9;4;447
20;11;161
11;1;472
17;8;163
4;5;360
22;7;71
23;5;68
22;2;99
15;12;450
23;10;298
7;1;309
1;1;328
14;7;212
4;11;4
28;8;379
31;12;414
5;3;252
23;7;89
14;1;262
19;11;151
27;9;477
1;1;269
18;5;183
27;11;220
28;5;189
16;2;47
26;7;397
24;12;331
30;5;174
17;12;447
9;12;283
6;9;331
22;6;126
14;2;372
24;10;357
13;9;217
15;6;433
11;3;428
8;7;8
1;1;4
12;9;51
18;11;161
16;11;304
30;1;13
2;12;216
27;6;249
25;9;15
12;4;361
21;9;17
1;11;244
6;12;150
30;8;443
18;4;167
6;12;95
15;6;454
15;6;261
11;7;377
25;11;359
29;3;244
11;12;341
9;6;20
5;9;29
22;8;480
24;7;433
19;11;152
15;7;392
27;12;125
28;8;111
29;1;56
20;8;107
15;4;252
23;5;311
20;2;208
7;6;321
2;10;28
12;7;341
24;2;426
5;10;68
19;5;355
17;12;201
30;4;62
16;1;27
7;3;405
27;9;316
8;1;35
13;9;211
2;3;10
27;8;463
6;7;254
23;6;78
5;8;7
26;1;125
4;1;356
4;7;426
21;4;151
6;3;427
7;4;398
28;2;46
26;11;17
21;8;17
4;6;192
30;8;289
9;6;313
17;10;8
12;8;5
19;7;11
27;8;477
5;2;472
23;2;67
14;4;3
28;2;390
15;5;255
31;1;204
16;12;231
10;1;350
30;3;271
30;8;103
31;12;419
19;5;371
17;4;131
1;4;56
17;9;486
18;12;204
14;10;277
2;6;384
23;10;389
30;8;256
27;2;151
9;9;151
1;10;223
15;1;182
15;5;86
15;3;149
1;5;15
25;10;151
10;3;127
17;9;480
2;5;220
28;12;322
3;5;199
24;8;267
17;2;8
12;12;458
21;4;453
25;8;299
17;5;174
27;2;473
19;2;90
16;2;164
1;5;451
9;1;135
12;5;15
19;1;326
11;11;292
8;2;26
4;1;250
11;1;26
25;9;309
11;2;130
23;5;61
28;3;241
6;2;145
9;1;308
27;9;233
25;12;147
24;2;413
19;9;35
5;4;409
1;12;116
29;1;134
30;9;98
27;1;98
21;2;86
31;7;398
27;1;8
27;10;436
12;5;77
16;6;19
30;5;187
31;5;338
9;9;190
14;10;464
28;10;95
